info_I,visibility_V,x,intensity,landauer_energy_j
0.500000,0.866025,0.350000,0.24548152,1.435489442539e-21
0.500000,0.866025,0.375000,0.19381378,1.435489442539e-21
0.500000,0.866025,0.400000,0.14968537,1.435489442539e-21
0.500000,0.866025,0.425000,0.11418286,1.435489442539e-21
0.500000,0.866025,0.450000,0.08818045,1.435489442539e-21
0.500000,0.866025,0.475000,0.07231840,1.435489442539e-21
0.500000,0.866025,0.500000,0.06698730,1.435489442539e-21
0.500000,0.866025,0.525000,0.07231840,1.435489442539e-21
0.500000,0.866025,0.550000,0.08818045,1.435489442539e-21
0.500000,0.866025,0.575000,0.11418286,1.435489442539e-21
0.500000,0.866025,0.600000,0.14968537,1.435489442539e-21
0.500000,0.866025,0.625000,0.19381378,1.435489442539e-21
0.500000,0.866025,0.650000,0.24548152,1.435489442539e-21
0.500000,0.866025,0.675000,0.30341635,1.435489442539e-21
0.500000,0.866025,0.700000,0.36619172,1.435489442539e-21
0.500000,0.866025,0.725000,0.43226189,1.435489442539e-21
0.500000,0.866025,0.750000,0.50000000,1.435489442539e-21
0.500000,0.866025,0.775000,0.56773811,1.435489442539e-21
0.500000,0.866025,0.800000,0.63380828,1.435489442539e-21
0.500000,0.866025,0.825000,0.69658365,1.435489442539e-21
0.500000,0.866025,0.850000,0.75451848,1.435489442539e-21
0.500000,0.866025,0.875000,0.80618622,1.435489442539e-21
