x,rho
-8.232421875,0.031184033712646
-8.212890625,0.032343783946178
-8.193359375,0.033537257619844
-8.173828125,0.034765017338508
-8.154296875,0.036027617010571
-8.134765625,0.037325600896981
-8.115234375,0.038659502639367
-8.095703125,0.040029844268158
-8.076171875,0.041437135191692
-8.056640625,0.04288187116737
-8.037109375,0.044364533255957
-8.017578125,0.045885586760245
-7.998046875,0.047445480149357
-7.978515625,0.049044643970006
-7.958984375,0.050683489746161
-7.939453125,0.052362408868581
-7.919921875,0.054081771475791
-7.900390625,0.055841925328117
-7.880859375,0.057643194676498
-7.861328125,0.059485879127787
-7.841796875,0.061370252508443
-7.822265625,0.063296561728432
-7.802734375,0.065265025647325
-7.783203125,0.067275833944595
-7.763671875,0.069329145996165
-7.744140625,0.071425089759335
-7.724609375,0.073563760668235
-7.705078125,0.075745220542023
-7.685546875,0.077969496508077
-7.666015625,0.080236579942459
-7.646484375,0.082546425429993
-7.626953125,0.084898949746275
-7.607421875,0.087294030864025
-7.587890625,0.089731506986156
-7.568359375,0.092211175607979
-7.548828125,0.094732792610953
-7.529296875,0.097296071390437
-7.509765625,0.099900682019832
-7.490234375,0.10254625045357
-7.470703125,0.10523235777131
-7.451171875,0.10795853946583
-7.431640625,0.11072428477685
-7.412109375,0.11352903607323
-7.392578125,0.1163721882858
-7.373046875,0.11925308839315
-7.353515625,0.12217103496246
-7.333984375,0.12512527774768
-7.314453125,0.12811501734711
-7.294921875,0.13113940492233
-7.275390625,0.13419754198064
-7.255859375,0.13728848022266
-7.236328125,0.14041122145705
-7.216796875,0.14356471758408
-7.197265625,0.14674787064945
-7.177734375,0.14995953297019
-7.158203125,0.15319850733371
-7.138671875,0.15646354727157
-7.119140625,0.1597533574089
-7.099609375,0.16306659389072
-7.080078125,0.1664018648859
-7.060546875,0.16975773116968
-7.041015625,0.17313270678522
-7.021484375,0.17652525978488
-7.001953125,0.17993381305141
-6.982421875,0.18335674519927
-6.962890625,0.18679239155628
-6.943359375,0.19023904522515
-6.923828125,0.19369495822505
-6.904296875,0.19715834271231
-6.884765625,0.20062737228004
-6.865234375,0.20410018333567
-6.845703125,0.20757487655548
-6.826171875,0.21104951841509
-6.806640625,0.2145221427946
-6.787109375,0.21799075265684
-6.767578125,0.22145332179728
-6.748046875,0.22490779666363
