x,rho
-4.992,1.54734417333e-06
-4.98,1.64275058805e-06
-4.968,1.74378846436e-06
-4.956,1.85077417543e-06
-4.944,1.96404088075e-06
-4.932,2.08393935829e-06
-4.92,2.21083887457e-06
-4.908,2.34512809411e-06
-4.896,2.48721603005e-06
-4.884,2.63753303742e-06
-4.872,2.79653185086e-06
-4.86,2.96468866855e-06
-4.848,3.1425042841e-06
-4.836,3.33050526848e-06
-4.824,3.52924520367e-06
-4.812,3.73930597027e-06
-4.8,3.96129909103e-06
-4.788,4.19586713251e-06
-4.776,4.44368516701e-06
-4.764,4.70546229706e-06
-4.752,4.98194324498e-06
-4.74,5.2739100096e-06
-4.728,5.58218359302e-06
-4.716,5.90762579967e-06
-4.704,6.25114111048e-06
-4.692,6.61367863487e-06
-4.68,6.99623414327e-06
-4.668,7.39985218314e-06
-4.656,7.82562828143e-06
-4.644,8.27471123647e-06
-4.632,8.74830550251e-06
-4.62,9.24767367001e-06
-4.608,9.77413904505e-06
