x,V,rho
-20.65136719,0,0.00017743098878329
-20.63769531,0,0.00018336590835138
-20.62402344,0,0.00018948518424136
-20.61035156,0,0.00019579404410223
-20.59667969,0,0.00020229782503719
-20.58300781,0,0.00020900203917473
-20.56933594,0,0.00021591229154411
-20.55566406,0,0.00022303435242889
-20.54199219,0,0.00023037412278447
-20.52832031,0,0.00023793765886166
-20.51464844,0,0.00024573115070623
-20.50097656,0,0.00025376094708046
-20.48730469,0,0.0002620335583882
-20.47363281,0,0.00027055563029848
-20.45996094,0,0.0002793339951627
-20.44628906,0,0.00028837562186059
-20.43261719,0,0.00029768767220982
-20.41894531,0,0.0003072774603876
-20.40527344,0,0.00031715247417204
-20.39160156,0,0.00032732037556142
-20.37792969,0,0.00033778901870502
-20.36425781,0,0.00034856643271042
-20.35058594,0,0.00035966083497542
-20.33691406,0,0.0003710806183672
-20.32324219,0,0.00038283438366882
-20.30957031,0,0.0003949309336307
-20.29589844,0,0.00040737926365796
-20.28222656,0,0.00042018855788459
-20.26855469,0,0.00043336824441807
-20.25488281,0,0.00044692791881651
-20.24121094,0,0.0004608774142611
-20.22753906,0,0.00047522679621369
-20.21386719,0,0.00048998632182638
-20.20019531,0,0.00050516649354122
-20.18652344,0,0.00052077805081228
-20.17285156,0,0.00053683192772177
-20.15917969,0,0.0005533393663907
-20.14550781,0,0.00057031176415581
-20.13183594,0,0.00058776083037815
-20.11816406,0,0.00060569850753405
-20.10449219,0,0.00062413697462684
-20.09082031,0,0.00064308865879072
-20.07714844,0,0.00066256631470725
-20.06347656,0,0.0006825828820467
